episode_step	action	reward	q_value	done	state_time_norm	state_queue_norm	state_wait_norm	state_density_norm	state_speed_norm	state_flow_norm	next_state_time_norm	next_state_queue_norm	next_state_wait_norm	next_state_density_norm	next_state_speed_norm	next_state_flow_norm
1	0	0.040000	0.004000	False	0.001000	0.050000	0.000000	0.001000	0.000000	0.050000	0.001000	0.050000	0.000000	0.001000	0.000000	0.050000
2	0	0.080000	0.011600	False	0.001000	0.050000	0.000000	0.001000	0.000000	0.050000	0.002000	0.000000	0.000000	0.001000	0.081500	0.050000
3	0	0.080000	0.008000	False	0.002000	0.000000	0.000000	0.001000	0.081500	0.050000	0.003000	0.000000	0.000000	0.001000	0.163400	0.050000
4	0	0.200000	0.020000	False	0.003000	0.000000	0.000000	0.001000	0.163400	0.050000	0.004000	0.050000	0.000000	0.003000	0.281800	0.150000
5	0	0.240000	0.024000	False	0.004000	0.050000	0.000000	0.003000	0.281800	0.150000	0.005000	0.000000	0.000000	0.003000	0.369600	0.150000
6	0	0.275234	0.027496	False	0.333300	0.000000	0.000300	0.303100	0.200000	0.000000	0.000000	0.000000	0.000300	0.350500	0.200000	0.016700
7	0	0.327335	0.032701	False	0.000000	0.000000	0.000300	0.350500	0.200000	0.016700	0.133300	0.000000	0.000400	0.374700	0.280000	0.016700
8	0	0.506333	0.050583	False	0.133300	0.000000	0.000400	0.374700	0.280000	0.016700	0.333300	0.000000	0.000700	0.372700	0.480000	0.016700
9	0	0.723563	0.072284	False	0.333300	0.000000	0.000700	0.372700	0.480000	0.016700	0.000000	0.000000	0.000700	0.407100	0.480000	0.016700
10	0	17.280081	1.726282	False	0.000000	0.000000	0.000700	0.407100	0.480000	0.016700	0.833300	0.361100	0.006900	0.410200	1.000000	0.000000
11	0	4.135157	0.413103	False	0.833300	0.361100	0.006900	0.410200	1.000000	0.000000	1.000000	1.000000	0.011500	0.252300	1.000000	0.000000
12	0	-1.467630	-0.146616	False	1.000000	1.000000	0.011500	0.252300	1.000000	0.000000	1.000000	1.000000	0.011400	0.250700	1.000000	0.016700
13	0	-1.088562	-0.108747	False	1.000000	1.000000	0.011400	0.250700	1.000000	0.016700	1.000000	1.000000	0.011600	0.246900	1.000000	0.016700
14	0	4.863898	0.485904	False	1.000000	1.000000	0.011600	0.246900	1.000000	0.016700	1.000000	1.000000	0.011400	0.263800	1.000000	0.016700
15	0	5.255909	0.525066	False	1.000000	1.000000	0.011400	0.263800	1.000000	0.016700	1.000000	1.000000	0.011600	0.257800	1.000000	0.016700
16	0	5.729566	0.572384	False	1.000000	1.000000	0.011600	0.257800	1.000000	0.016700	1.000000	1.000000	0.011700	0.251100	1.000000	0.016700
17	0	6.115305	0.610920	False	1.000000	1.000000	0.011700	0.251100	1.000000	0.016700	1.000000	1.000000	0.011800	0.232600	1.000000	0.016700
18	0	6.227847	0.622163	False	1.000000	1.000000	0.011800	0.232600	1.000000	0.016700	1.000000	1.000000	0.011700	0.227700	1.000000	0.016700
19	0	6.378758	0.637239	False	1.000000	1.000000	0.011700	0.227700	1.000000	0.016700	1.000000	1.000000	0.011900	0.227500	1.000000	0.016700
20	0	6.581328	0.657475	False	1.000000	1.000000	0.011900	0.227500	1.000000	0.016700	1.000000	1.000000	0.012000	0.216700	1.000000	0.016700
21	0	6.720110	0.671340	False	1.000000	1.000000	0.012000	0.216700	1.000000	0.016700	1.000000	1.000000	0.012200	0.216200	1.000000	0.016700
22	3	7.080906	0.707383	False	1.000000	1.000000	0.012200	0.216200	1.000000	0.016700	1.000000	1.000000	0.012400	0.217800	1.000000	0.033300
23	0	7.092114	0.708503	False	1.000000	1.000000	0.012400	0.217800	1.000000	0.033300	1.000000	1.000000	0.012500	0.224200	1.000000	0.016700
24	4	7.455993	0.744854	False	1.000000	1.000000	0.012500	0.224200	1.000000	0.016700	1.000000	1.000000	0.012600	0.226000	1.000000	0.033300
25	3	7.347279	0.733994	False	1.000000	1.000000	0.012600	0.226000	1.000000	0.033300	1.000000	1.000000	0.012800	0.222600	1.000000	0.050000
26	0	7.286863	0.727958	False	1.000000	1.000000	0.012800	0.222600	1.000000	0.050000	1.000000	1.000000	0.012900	0.223700	1.000000	0.016700
27	1	7.465800	0.745834	False	1.000000	1.000000	0.012900	0.223700	1.000000	0.016700	1.000000	1.000000	0.012900	0.223600	1.000000	0.016700
28	0	7.410139	0.740274	False	1.000000	1.000000	0.012900	0.223600	1.000000	0.016700	1.000000	1.000000	0.013000	0.220300	1.000000	0.016700
29	0	7.508360	0.750086	False	1.000000	1.000000	0.013000	0.220300	1.000000	0.016700	1.000000	1.000000	0.012900	0.222700	1.000000	0.016700
30	0	7.563650	0.755609	False	1.000000	1.000000	0.012900	0.222700	1.000000	0.016700	1.000000	1.000000	0.013100	0.217300	1.000000	0.016700
31	0	7.499034	0.749154	False	1.000000	1.000000	0.013100	0.217300	1.000000	0.016700	1.000000	1.000000	0.013100	0.212100	1.000000	0.016700
32	0	7.286122	0.727884	False	1.000000	1.000000	0.013100	0.212100	1.000000	0.016700	1.000000	1.000000	0.013300	0.202200	1.000000	0.016700
33	1	7.432856	0.742543	False	1.000000	1.000000	0.013300	0.202200	1.000000	0.016700	1.000000	1.000000	0.013400	0.203700	1.000000	0.016700
34	0	7.453530	0.744608	False	1.000000	1.000000	0.013400	0.203700	1.000000	0.016700	1.000000	1.000000	0.013600	0.203100	1.000000	0.016700
35	0	7.529303	0.752178	False	1.000000	1.000000	0.013600	0.203100	1.000000	0.016700	1.000000	1.000000	0.013700	0.204600	1.000000	0.016700
36	0	7.554205	0.754666	False	1.000000	1.000000	0.013700	0.204600	1.000000	0.016700	1.000000	1.000000	0.013800	0.206400	1.000000	0.016700
37	0	7.771662	0.776390	False	1.000000	1.000000	0.013800	0.206400	1.000000	0.016700	1.000000	1.000000	0.013800	0.205300	1.000000	0.016700
38	0	7.723186	0.771547	False	1.000000	1.000000	0.013800	0.205300	1.000000	0.016700	1.000000	1.000000	0.014000	0.202400	1.000000	0.016700
39	0	7.761132	0.775338	False	1.000000	1.000000	0.014000	0.202400	1.000000	0.016700	1.000000	1.000000	0.014000	0.202300	1.000000	0.016700
40	0	7.628401	0.762078	False	1.000000	1.000000	0.014000	0.202300	1.000000	0.016700	1.000000	1.000000	0.014100	0.198800	1.000000	0.016700
41	0	7.441111	0.743368	False	1.000000	1.000000	0.014100	0.198800	1.000000	0.016700	1.000000	1.000000	0.014000	0.196200	1.000000	0.016700
42	0	7.387639	0.738026	False	1.000000	1.000000	0.014000	0.196200	1.000000	0.016700	1.000000	1.000000	0.014000	0.197300	1.000000	0.016700
43	0	7.579979	0.757241	False	1.000000	1.000000	0.014000	0.197300	1.000000	0.016700	1.000000	1.000000	0.014100	0.196000	1.000000	0.016700
44	0	7.754563	0.774682	False	1.000000	1.000000	0.014100	0.196000	1.000000	0.016700	1.000000	1.000000	0.014200	0.191100	1.000000	0.016700
45	3	7.857887	0.785004	False	1.000000	1.000000	0.014200	0.191100	1.000000	0.016700	1.000000	1.000000	0.014300	0.195800	1.000000	0.033300
46	0	7.666667	0.765901	False	1.000000	1.000000	0.014300	0.195800	1.000000	0.033300	1.000000	1.000000	0.014300	0.189300	1.000000	0.016700
47	4	8.019828	0.801182	False	1.000000	1.000000	0.014300	0.189300	1.000000	0.016700	1.000000	1.000000	0.014600	0.187700	1.000000	0.033300
